City,State,Country,HQ2 Finalist,HQ2 Victor,SiteName,Population,Y,X,Local_Before,State_Before,Total_Before,Local_Leaked_Post1113,State_Leaked_Post1113,Total_Leaked_Post1113,Total_Final,Total_PerCapita,Total_Final_String,Total_PC_String,PublicationMethod,PublicationMethod_Code,IncentiveType,StateBid,Link_Intel,ReleasedBid,Leaked_Post113_BidIntel,Other Intel Links,Notes
Baltimore,Maryland,United States,0,0,Port Covington,611648,39.259875,-76.610501,Denied FOIA,6500000000,6500000000,760000000,NA,760000000,7260000000,11870,"$7,260,000,000","$11,869.57",Values,2,Local & State,No,http://www.natemjensen.com/wp-content/uploads/2018/02/baltimore-amazon-hq2-proposal.pdf,http://www.natemjensen.com/wp-content/uploads/2018/02/baltimore-amazon-hq2-proposal.pdf,,https://www.baltimoresun.com/news/maryland/politics/bs-md-amazon-package-passed-20180404-story.html,"Denied FOIA originally. In released bid, state incentives are redacted (though released publicly by state in press event) and local incentives were released (with untabulated brownfields TCs). "
Charles County,Maryland,United States,0,0,Near 301 in La Plata,159700,38.5589,-76.972384,NA,6500000000,6500000000,NA,NA,NA,6500000000,40701,"$6,500,000,000","$40,701.31",Denied FOIA,6,Unknown,No,https://www.baltimoresun.com/news/maryland/politics/bs-md-amazon-package-passed-20180404-story.html,http://www.meetcharlescounty.com/clientuploads/directory/downloads/download_files/Amazon%20HQ2%20Proposal_10.19.2017_Redacted%20rev2.pdf,,,"Redacted all state things. For county, released, but untabulated TIF, etc. "
Prince George's County,Maryland,United States,0,0,"Discovery District, College Park",912756,38.968469,-76.92889,Denied FOIA,6500000000,6500000000,NA,NA,NA,6500000000,7121,"$6,500,000,000","$7,121.29",Denied FOIA,6,Unknown,No,https://wamu.org/story/18/01/17/found-d-c-s-bid-amazon-hq2-didnt/,,,https://www.baltimoresun.com/news/maryland/politics/bs-md-amazon-package-passed-20180404-story.html,
Worcester,Massachusetts,United States,0,0,Broadmeadow Brook/NA,185677,42.236203,-71.745201,500000000,1000000,501000000,NA,NA,NA,501000000,2698,"$501,000,000","$2,698.23",Values,2,Local & State,No,http://www.worcesterma.gov/proposals/amazon.pdf,http://www.worcesterma.gov/proposals/amazon.pdf,,,"Untabulated EDIP, personal property tax exemption, ITC, R&D TC, DIF, MassWorks, Workforce grants. Some offered bids for state and local. "
Lynn,Massachusetts,United States,0,0,Atlantic Waterfront,93000,42.4511853,-70.970529,500000000,NA,500000000,NA,NA,NA,500000000,5376,"$500,000,000","$5,376.34",Not Tabulated,3,State,No,https://cdn.muckrock.com/outbound_attachments/MayorsOffice50/45705/amazon20rfp.pdf,https://cdn.muckrock.com/outbound_attachments/MayorsOffice50/45705/amazon20rfp.pdf,,,"Untabulated state LEAD credits, federal hiring TC, state job creation & building investment TC, life sci TC, single sales factor tax reduction. No local incentives offered. "
Union Point-Abington-Rockland-Weymouth,Massachusetts,United States,0,0,Union Point,91017,42.162093,-70.948409,488000000,NA,488000000,NA,NA,NA,488000000,5362,"$488,000,000","$5,361.64",Values,2,Local,No,http://d279m997dpfwgl.cloudfront.net/wp/2017/10/UP-RFP-and-Incentives-Release_Final.pdf,,,,"Assumes Amazon donates the bare minimum to local groups. State is unspecified/untabulated, so marked ""bidmaker"" as local. "
Leominster,Massachusetts,United States,0,0,Leominster Mall,41615,42.529959,-71.743759,405000000,NA,405000000,NA,NA,NA,405000000,9732,"$405,000,000","$9,732.07",Values,2,Local,No,http://www.wbjournal.com/article/20171019/NEWS01/171019918/1002,,,,Cannot find bid. 
Boston,Massachusetts,United States,1,0,"Suffolk Downs, Seaport, Widett Circle, Allston Yards",685094,42.39406,-70.997791,92100000,NA,92100000,NA,NA,NA,92100000,134,"$92,100,000",$134.43,Values,2,Local & State,No,https://www.muckrock.com/foi/boston-3/amazon-hq2-bid-44971/#file-161828,https://d279ml9s9jjbhy.cloudfront.net/BostonAmazonHQ2.pdf,,,Not including possible PILOTs or TIFs
Marlborough-Northborough-Southborough-Westborough-Hudson,Massachusetts,United States,0,0,"North Campus (Northborough), South Campus (Southborough)",39873,42.314702,-71.568544,NA,50000000,50000000,NA,NA,NA,50000000,1254,"$50,000,000","$1,253.98",Not Tabulated,3,Local & State,No,https://cdn.muckrock.com/foia_files/2017/11/13/495_CROSSROADS_Final_Print________________Copy.pdf,https://cdn.muckrock.com/foia_files/2017/11/13/495_CROSSROADS_Final_Print________________Copy.pdf,,,"Cited ICAP grant funding up to cap, untabulated EDIP, local TIFs (including with Hudson et al). Used Marlborough population."
Everett,Massachusetts,United States,0,0,"2-198 Beacham St, or general",46324,42.394973,-71.054784,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,Yes,https://cdn.muckrock.com/foia_files/2017/11/15/Everett_MA_HQ2.pdf,https://cdn.muckrock.com/foia_files/2017/11/15/Everett_MA_HQ2.pdf,,,"Not tabulated, but city noted they will consider all options if Amazon was to choose their site. "
Fall River,Massachusetts,United States,0,0,Southcoast-Riverfront,89420,41.782745,-71.076002,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,No,http://froed.org/pdf/AmazonRFP_10.18.17.pdf,http://froed.org/pdf/AmazonRFP_10.18.17.pdf,,,Untabulated state and local incentives. 
Foxborough,Massachusetts,United States,0,0,Patriot Place,17574,42.092485,-71.267553,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,Yes,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,,,"Part of state bid, no tabulated incentives offered, no local incentives offered. "
Gardner,Massachusetts,United States,0,0,Site by Rt. 140,20640,42.603211,-71.988137,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,State,Yes,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,,,"Part of state bid, no tabulated incentives offered, no local incentives offered. "
Holyoke,Massachusetts,United States,0,0,Open Square,40341,42.206829,-72.603122,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,Yes,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,,,"Part of state bid, no tabulated incentives offered, no local incentives offered. "
Lawrence-Haverhill-Andover-Methuen-North Andover,Massachusetts,United States,0,0,Osgood Landing (North Andover),261010,42.731125,-71.114985,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,Yes,https://www.wbur.org/bostonomix/2017/10/13/amazon-massachusetts-cities-pitch,,,,"Part of state bid, no tabulated incentives offered, no local incentives offered. "
Lee,Massachusetts,United States,0,0,Greylock Mills,5725,42.317306,-73.240672,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,Yes,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,,,"Part of state bid, no tabulated incentives offered, no local incentives offered. "
Lowell-Billerica-Tewksbury,Massachusetts,United States,0,0,Riverview Office Park,311980,42.60058,-71.288849,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,No,https://www.documentcloud.org/documents/4112462-Lowell-area-Amazon-proposal.html,https://www.documentcloud.org/documents/4112462-Lowell-area-Amazon-proposal.html,,,"Untabulated EDIP, R&D TCs, MassWorks, WFTP state credits; local TIF"
New Bedford,Massachusetts,United States,0,0,Whaling City Golf Course,94959,41.657834,-70.959177,0,NA,0,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,No,https://www.muckrock.com/foi/new-bedford-595/amazon-hq2-bid-45322/,https://www.muckrock.com/foi/new-bedford-595/amazon-hq2-bid-45322/,,,"Untabulated state EDIPs, Gateway City, Economic Target Area, Foreign Trade Zone (tax abatement). "
Peabody,Massachusetts,United States,0,0,Centennial Drive Business Park,52987,42.52193,-70.964431,0,NA,0,NA,NA,NA,0,0,$0,$0.00,Not Offered,1,Not Offered,No,https://cdn.muckrock.com/foia_files/2017/12/11/Muckrock_Public_Records_Request_-Peabdoy_Response.pdf,https://cdn.muckrock.com/foia_files/2017/12/11/Muckrock_Public_Records_Request_-Peabdoy_Response.pdf,,,No incentives offered
Pittsfield,Massachusetts,United States,0,0,William Stanley Business Park,42591,42.454567,-73.234927,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,Yes,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,,,"Part of state bid, no tabulated incentives offered, no local incentives offered. "
Quincy,Massachusetts,United States,0,0,Fore River Shipyard,94166,42.24139,-70.973896,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,State,Yes,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,,,,"Part of state bid, no tabulated incentives offered, no local incentives offered. "
Somerville,Massachusetts,United States,0,0,"Assembly, NorthPoint, Union Square",81360,42.392541,-71.079801,0,NA,0,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,No,https://www.somervillema.gov/departments/ospcd-economic-development/amazon-t-tapping-vitality-greater-boston,https://www.somervillema.gov/departments/ospcd-economic-development/amazon-t-tapping-vitality-greater-boston,,https://d279m997dpfwgl.cloudfront.net/wp/2018/11/Amazon-RFI-Somerville-Response-Redacted-11.27.18.pdf,"Offered state EDIP, R&D grants, and city DIFs (like TIFs) & brownfield cleanup revolving loan funds, but untabulated. PDF released 11/28 via WBUR FOIA had nothing filled in on incentives, some filled in for taxes (would require more research to see if these were waived or not): https://d279m997dpfwgl.cloudfront.net/wp/2018/11/Amazon-RFI-Somerville-Response-Redacted-11.27.18.pdf. "
Taunton,Massachusetts,United States,0,0,West Stevens Street,57139,41.864384,-71.051746,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Tabulated,3,Local & State,Yes,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,https://www.scribd.com/document/362132513/Massachusetts-bid-for-Amazon-HQ2,,,"Part of state bid, no tabulated incentives offered, no local incentives offered. "
Waltham,Massachusetts,United States,0,0,Along Prospect Hill Park,62442,42.380738,-71.262578,0,NA,0,NA,NA,NA,0,0,$0,$0.00,Not Released,4,Unknown,No,http://spokaneplanner.com/wp-content/uploads/2017/11/Waltham-MA-HQ2-Proposal.pdf,http://spokaneplanner.com/wp-content/uploads/2017/11/Waltham-MA-HQ2-Proposal.pdf,,,"Nothing listed, no state nor local incentives."
Detroit,Michigan,United States,0,0,"East Riverfront (including Ford Auditorium), One Campus Martius, Chase Tower, the Chrysler House, One Woodward, Fox Theatre, Women's City Club building, Monroe Blocks, Hudson’s site",673104,42.327612,-83.042986,Denied FOIA,Denied FOIA,Denied FOIA,Included,Included,4033700000,4033700000,5993,"$4,033,700,000","$5,992.68",Values,2,Local & State,No,https://www.crainsdetroit.com/article/20180525/news/661816/detroit-offered-4-billion-for-amazon-hq2-state-says,https://www.crainsdetroit.com/assets/PDF/CD1136541220.PDF,,https://detroit.curbed.com/2017/12/20/16801642/detroits-bid-amazon-hq2-details,"Bid redacted for US bid, released via letter. Joint bid with Windsor, but credits were significant for US bid, so were separated. "
Grand Rapids,Michigan,United States,0,0,Wyoming,198829,42.919109,-85.703946,NA,NA,2000000000,NA,NA,NA,2000000000,10059,"$2,000,000,000","$10,058.89",Values,2,Local & State,No,https://www.crainsdetroit.com/article/20180307/news/654676/grand-rapids-offered-up-to-2-billion-in-tax-incentives-for-amazon-hq2,,,,"Three separate sites in area, incentive amounts ranged based on municipalities' offerings. "
Sault Ste. Marie,Michigan & Ontario,United States & Canada,0,0,Amazon North,86999,46.508519,-84.360709,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Released,4,Unknown,No,https://amazonnorth.ca/img/invest_sault_ste_marie_why_ssm.pdf,https://amazonnorth.ca/,,https://www.cbc.ca/news/canada/sudbury/sault-ste-marie-amazon-bid-official-1.4359257,
Minneapolis-Saint Paul,Minnesota,United States,0,0,None Identified,728952,44.977243,-93.265417,NA,5000000,NA,NA,18400000,NA,18400000,25,"$18,400,000",$25.24,Values,2,State,Yes,https://www.muckrock.com/foi/minnesota-156/amazon-hq2-bid-45320/,https://www.muckrock.com/foi/minnesota-156/amazon-hq2-bid-45320/,,http://www.startribune.com/twin-cities-don-t-make-the-cut-as-amazon-narrows-list-of-possible-second-hq-cities/469927913/,"Not clear on local bid amounts, if offered. "
,Mississippi,United States,0,0,None Identified,2984100,32.303672,-90.1821,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Released,4,Unknown,Yes,https://qz.com/1119945/a-nearly-complete-list-of-the-238-places-that-bid-for-amazons-next-headquarters/,,,,"QZ says at least one bid submitted, details unknown"
St. Louis,Missouri,United States,0,0,River Campus (HQ as Amazon Tower),308626,38.627984,-90.194674,2483000000,2485500000,6595500000,NA,NA,7100000000,6595500000,21371,"$6,595,500,000","$21,370.53",Values,2,Local & State,No,https://cbsstlouis.files.wordpress.com/2018/01/hustle-amazon-rfp-response-open.pdf,https://cbsstlouis.files.wordpress.com/2018/01/hustle-amazon-rfp-response-open.pdf,,https://www.chicagobusiness.com/technology/newark-preps-add-1b-tax-breaks-its-amazon-pitch,"St.Louis did $2.48B, MO did $2.48B, and IL did $1.6 B -- summed two states"
Kansas City,Missouri,United States,0,0,Denied FOIA,488943,39.100301,-94.577954,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,0,0,$0,$0.00,Denied FOIA,6,Unknown,Yes,https://www.muckrock.com/foi/kansas-city-331/amazon-hq2-bid-45304/,https://www.muckrock.com/foi/kansas-city-331/amazon-hq2-bid-45304/,,http://spokaneplanner.com/wp-content/uploads/2017/11/Missouri-HQ2-Proposal.pdf,"Joint state bid, not released. "
Omaha,Nebraska,United States,0,0,None Identified,466893,41.257045,-95.940392,Unresponsive,Unresponsive,Unresponsive,Unresponsive,Unresponsive,Unresponsive,0,0,$0,$0.00,Denied FOIA,6,Unknown,No,https://www.muckrock.com/foi/omaha-21299/amazon-hq2-bid-45710/,,,https://morningsky.com/omaha/posts/developing-story-omaha-submits-bid-for-amazons-hq2,
Las Vegas,Nevada,United States,0,0,"Downtown Las Vegas (Cashman Center), Summerlin West, West Henderson, North Las Vegas, Rainbow Beltway Center",641676,36.179336,-115.131307,NA,800000000,800000000,NA,NA,NA,800000000,1247,"$800,000,000","$1,246.74",Values,2,State,Yes,https://www.scribd.com/document/380696601/Southern-Nevada-s-Amazon-application?campaign=VigLink&ad_group=xxc1xx&source=hp_affiliate&medium=affiliate,https://www.scribd.com/document/380696601/Southern-Nevada-s-Amazon-application?campaign=VigLink&ad_group=xxc1xx&source=hp_affiliate&medium=affiliate,,,"No local incentives mentioned, state pitch."
Londonderry,New Hampshire,United States,0,0,Woodmont Commons,26126,42.882812,-71.343386,0,1450000000,1450000000,NA,NA,NA,1450000000,55500,"$1,450,000,000","$55,500.27",Values,2,State,Yes,http://blog.nheconomy.com/wp-content/uploads/2017/10/NH_AmazonHQ2.pdf,http://blog.nheconomy.com/wp-content/uploads/2017/10/NH_AmazonHQ2.pdf,,,"Using ""Benefits Summary"", though many of these deviate from other cities' bids in that there are no state programs, just tabulation of tax savings (compared to MA). "
Newark,New Jersey,United States,1,0,"SoMa, Mulberry Commons, Gateway Center, Matrix Riverfront, Lotus Riverfront, Military Park, NJPAC, 520 Broad Street, and 33 Washington Street",285154,40.733806,-74.173225,2000000000,5000000000,7000000000,NA,NA,NA,7000000000,24548,"$7,000,000,000","$24,548.14",Not Tabulated,3,Local & State,No,https://mashable.com/2017/10/17/newark-amazon-7-billion/#rCIUkLzvAOqu,https://www.muckrock.com/foi/newark-335/amazon-hq2-bid-45325/,,,Redacted bid in process of being sent to MuckRock.
West Windsor-Mercer County,New Jersey,United States,0,0,Howard Hughes Corp. site,374733,40.290484,-74.668906,1000000000,5350010000,6350010000,NA,NA,NA,6350010000,16945,"$6,350,010,000","$16,945.43",Values,2,Local & State,No,http://spokaneplanner.com/wp-content/uploads/2017/11/West-Windsor-NJ-HQ2-Proposal.pdf,http://spokaneplanner.com/wp-content/uploads/2017/11/West-Windsor-NJ-HQ2-Proposal.pdf,,,
Camden,New Jersey,United States,0,0,Wiggins Waterfront Park,74532,39.950381,-75.129161,NA,5350000000,5350000000,NA,NA,NA,5350000000,71781,"$5,350,000,000","$71,781.25",Not Tabulated,3,Local & State,No,https://cdn.muckrock.com/foia_files/2017/11/09/CamdenAmazonHQ2.pdf,https://cdn.muckrock.com/foia_files/2017/11/09/CamdenAmazonHQ2.pdf,,,"Untabulated PILOT, others. From bid, added $350M EOA added to $5B NJ state (which expands Grow NJ credits). "
Salem County,New Jersey,United States,0,0,Chamber Works site,62792,39.702244,-75.487217,172500000,5000000000,5172500000,NA,NA,NA,5172500000,82375,"$5,172,500,000","$82,375.14",Values,2,Local & State,No,https://www.muckrock.com/foi/salem-county-6774/amazon-hq2-bid-45720/#file-165293,https://www.muckrock.com/foi/salem-county-6774/amazon-hq2-bid-45720/#file-165293,,,
Atlantic City,New Jersey,United States,0,0,Sites near Convention Center/Rail Yard,38429,39.361271,-74.44098,4750000,5000000000,5004750000,NA,NA,NA,5004750000,130234,"$5,004,750,000","$130,233.68",Values,2,Local & State,No,https://www.muckrock.com/foi/atlantic-city-6791/amazon-hq2-bid-45711/#file-165872,https://www.muckrock.com/foi/atlantic-city-6791/amazon-hq2-bid-45711/#file-165872,,https://www.nj.com/atlantic/index.ssf/2017/10/atlantic_city_joins_long_line_of_nj_spots_that_wan.html,"Untabulated city funds, including PILOTs, in addition to state promise. "
Bayonne,New Jersey,United States,0,0,Military Ocean Terminal at Bayonne,67186,40.663694,-74.069083,NA,5000000000,5000000000,NA,NA,NA,5000000000,74420,"$5,000,000,000","$74,420.27",Not Tabulated,3,Local & State,No,https://www.muckrock.com/foi/bayonne-6802/amazon-hq2-bid-45712/#file-166737,,,https://mashable.com/2017/10/17/newark-amazon-7-billion/#rCIUkLzvAOqu,Significant untabulated tax breaks from state and local sources. Used numbers from NJ announcement. 
Galloway,New Jersey,United States,0,0,None Identified,36563,39.476185,-74.582376,Denied FOIA,5000000000,5000000000,NA,NA,NA,5000000000,136750,"$5,000,000,000","$136,750.27",Not Tabulated,3,Local & State,No,http://spokaneplanner.com/wp-content/uploads/2017/11/Galloway-NJ-HQ2-Proposal.pdf,http://spokaneplanner.com/wp-content/uploads/2017/11/Galloway-NJ-HQ2-Proposal.pdf,,https://www.muckrock.com/foi/galloway-6935/amazon-hq2-bid-45718/#comms,Untabulated TIF. 
Jersey City,New Jersey,United States,0,0,"700 Washington Boulevard, Newport; Harborside",270753,40.732512,-74.032534,NA,5000000000,5000000000,NA,NA,NA,5000000000,18467,"$5,000,000,000","$18,467.02",Not Tabulated,3,Local & State,No,https://28nwgk2wx3p52fe6o9419sg5-wpengine.netdna-ssl.com/wp-content/uploads/2018/06/Amazon_HQ2_For_Print.compressed.pdf,https://28nwgk2wx3p52fe6o9419sg5-wpengine.netdna-ssl.com/wp-content/uploads/2018/06/Amazon_HQ2_For_Print.compressed.pdf,,,"Untabulated city funds (TIFs, bonds). $5B state directly stated"
New Brunswick,New Jersey,United States,0,0, The Hub @ New Brunswick Station,57073,40.501513,-74.454158,NA,5000000000,5000000000,NA,NA,NA,5000000000,87607,"$5,000,000,000","$87,607.10",Not Tabulated,3,Local & State,No,https://www.tapinto.net/towns/new-brunswick/articles/new-brunswick-plows-ahead-with-amazon-proposal,,,https://mashable.com/2017/10/17/newark-amazon-7-billion/#rCIUkLzvAOqu,
Old Bridge,New Jersey,United States,0,0,"The Oaks, Mattawan Road/Alfieri",67032,40.422081,-74.265442,NA,5000000000,5000000000,NA,NA,NA,5000000000,74591,"$5,000,000,000","$74,591.24",Not Tabulated,3,Local & State,No,http://spokaneplanner.com/wp-content/uploads/2017/11/Old-Bridge-NJ-HQ2-Proposal.pdf,http://spokaneplanner.com/wp-content/uploads/2017/11/Old-Bridge-NJ-HQ2-Proposal.pdf,,,"Untabulated PILOTs, including seizing vacant/unimproved/destroyed property through state Redevelopment Law. "
Trenton,New Jersey,United States,0,0,Trenton Transit Center,84964,40.218888,-74.754526,NA,5000000000,5000000000,NA,NA,NA,5000000000,58848,"$5,000,000,000","$58,848.45",Not Tabulated,3,Local & State,No,https://www.globest.com/sites/stevelubetkin/2017/10/20/trenton-goes-it-alone-hopes-to-bring-amazon-hq2-to-capital-city/?slreturn=20181103113539,,,,
El Paso-Borderplex Alliance,New Mexico,United States,0,0,None Identified,2539946,31.74781,-106.48696,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Denied FOIA,6,Unknown,No,https://www.muckrock.com/foi/el-paso-339/amazon-hq2-bid-45099/,https://www.muckrock.com/foi/el-paso-339/amazon-hq2-bid-45099/,,,"FOIA Denial: Stated there's no responsive documents. Used metro region population count for Juarez, since it includes El Paso. "
Santa Teresa-San Jeronimo,New Mexico & Mexico,United States & Mexico,0,0,Borderplex,2539946,31.784055,-106.679569,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Released,4,Unknown,No,https://www.elpasotimes.com/story/news/local/el-paso/2018/01/18/amazon-hq-2-finalists-list-borderplex-el-paso-new-mexico/1045160001/,http://www.hq2countries.com/,,,"Used metro region population count for Juarez, since it includes El Paso (Santa Teresa and San Jeronimo are the names of the border towns (no inhabitants). "
New York City,New York,United States,1,1,"Midtown West, Lower Manhattan, Brooklyn Tech Triangle, Long Island City",68117,40.74133,-73.958442,0,NA,0,1283000000,1525000000,2808000000,2808000000,41223,"$2,808,000,000","$41,223.19",Values,2,Local & State,No,https://theintercept.com/2018/11/15/amazon-hq2-long-island-city-virginia-subsidies/,https://www.dropbox.com/s/omgt5ywmgzundkv/Amazon%20Deck%20for%20Press%20-%2010.18.2017.pdf?dl=0&utm_source=Press+Release&utm_campaign=5db591fe9c-2017_10_18_NYC_Submits_Amazon_Proposal_PA&utm_medium=email&utm_term=0_b804b7ba34-5db591fe9c-102476565,,https://www.nytimes.com/2018/01/18/nyregion/amazon-headquarters-finalists.html,"LIC Waterfront, LIC Core chosen. Used LIC population, not NYC population or MSA population. "
Rochester,New York,United States,0,0,"Xerox Tower, Historic Kodak Tower Commons",208046,43.154492,-77.60461,Unresponsive,Unresponsive,Unresponsive,700000000,NA,NA,700000000,3365,"$700,000,000","$3,364.64",Values,2,Local,No,https://www.documentcloud.org/documents/4421835-Buffalo-Rochester-Amazon-Bid.html,http://www.natemjensen.com/wp-content/uploads/2018/03/Buffalo-Rochester-Amazon-Bid.pdf,,https://www.muckrock.com/foi/buffalo-207/amazon-hq2-bid-44992/,Split up bid into Buffalo and Rochester separately. Local funds from COMIDA. 
Buffalo,New York,United States,0,0,One Seneca Place,258612,42.879825,-78.875651,Unresponsive,Unresponsive,Unresponsive,584025000,NA,NA,584025000,2258,"$584,025,000","$2,258.31",Values,2,Local,No,https://www.documentcloud.org/documents/4421835-Buffalo-Rochester-Amazon-Bid.html,http://www.natemjensen.com/wp-content/uploads/2018/03/Buffalo-Rochester-Amazon-Bid.pdf,,https://www.muckrock.com/foi/buffalo-207/amazon-hq2-bid-44992/,"Split up bid into Buffalo and Rochester, since they offered different amounts. Buffalo has 73700000+750000+5000000+2000000, plus 502575000 from ECIDA. "
Syracuse-Utica,New York,United States,0,0,UTM/UAS Corridor (near Griffiss International Airport),204031,43.231983,-75.406759,0,NA,NA,100000000,NA,NA,100000000,490,"$100,000,000",$490.12,Values,2,Local,No,http://www.centerstateceo.com/sites/default/files/AmazonRFPFINAL%20-%20web.pdf,http://www.centerstateceo.com/sites/default/files/AmazonRFPFINAL%20-%20web.pdf,,https://www.vantageres.com/localities-fortify-their-amazon-hq2-bids-with-hefty-financial-incentives/,"Funds from state grant, but awarded to region and region earmarked for Amazon. 25-30 year TIF proposed but untabulated. Pop is Syracuse + Utica"
Albany,New York,United States,0,0,"Amazon Promenade (waterfront in Albany and Rensselaer), Gov. W. Averell Harriman State Office Campus near the University at Albany, Luther Forest Tech Campus in Saratoga County",98251,42.660425,-73.740159,Denied FOIA,Denied FOIA,Denied FOIA,Unnumerated,Unnumerated,Unnumerated,0,0,$0,$0.00,Not Tabulated,3,Local & State,No,https://www.timesunion.com/business/article/Read-what-New-York-offered-Amazon-to-come-upstate-12786018.php,http://www.natemjensen.com/wp-content/uploads/2018/03/CEG-Bid-Document-FINAL.pdf,,https://www.muckrock.com/foi/albany-720/amazon-hq2-bid-44974/#comms,Offered to use eminent domain to seize private property and go around zoning laws. Only one to do this. Unnumerated bid amounts.
Mount Vernon,New York,United States,0,0,None Identified,68703,40.912248,-73.83906,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Released,4,Unknown,No,https://cmvny.com/amazonchoosemv/,https://cmvny.com/amazonchoosemv/,,https://patch.com/new-york/mountvernonny/mayor-thomas-statement-amazon-hq2-announcement,Bid not released.
New Rochelle,New York,United States,0,0,Davids Island,79946,40.883336,-73.77023,Denied FOIA,Denied FOIA,Denied FOIA,NA,NA,NA,0,0,$0,$0.00,Denied FOIA,6,Unknown,No,https://www.muckrock.com/foi/new-rochelle-22890/amazon-hq2-bid-45732/,https://www.muckrock.com/foi/new-rochelle-22890/amazon-hq2-bid-45732/,,https://www.newrochelleny.com/CivicAlerts.aspx?AID=1339&ARC=2062,"Denied FOIA, bid not followed up on by MuckRock/other FOIA. "
Westchester,New York,United States,0,0,"Yonkers, Mount Vernon, White Plains, Elmsford and former IBM and PepsiCo properties in Somers",357041,41.538453,-73.822321,NA,NA,NA,NA,NA,NA,0,0,$0,$0.00,Not Released,4,Unknown,No,https://westfaironline.com/94206/astorino-pitches-westchester-county-for-amazons-new-headquarters/,https://www.muckrock.com/foi/westchester-county-5687/amazon-hq2-bid-45359/#comms,,,
Hickory,North Carolina,United States,0,0,Little Mountain Airport,40611,35.591796,-81.079506,582000000,1300000000,1882000000,NA,NA,NA,1882000000,46342,"$1,882,000,000","$46,342.12",Values,2,Local & State,No,https://www.newsobserver.com/news/business/article200113569.html,,,https://www.newsobserver.com/news/business/article173976251.html,State subsidy is $50M + 5k/job/year (1.25B) + incalculable withholding returned. Local incentives discussed in article. 
Raleigh,North Carolina,United States,1,0,"GSK Campus, Park Center/Nortel, GoTriangle Transit Stop",464758,35.927599,-78.86169,50000000,1300000000,1350000000,NA,NA,NA,1350000000,2905,"$1,350,000,000","$2,904.74",Not Tabulated,3,Local & State,No,https://www.wral.com/emails-shed-light-on-triangle-s-potential-amazon-hq2-sites/17097631/,,https://www.wral.com/emails-shed-light-on-triangle-s-potential-amazon-hq2-sites/17097631/,https://www.newsobserver.com/news/business/article173976251.html,"State subsidy is $50M + 5k/job/year (1.25B) + incalculable withholding returned. In press, VP of Greater Durham CC noted value, but noted it was untabulated in bid. "
Charlotte-York County,North Carolina,United States,0,0,"Kingsley Park, Southbridge",1125474,35.024495,-80.965371,NA,1300000000,1300000000,0,0,0,1300000000,1155,"$1,300,000,000","$1,155.07",Denied FOIA,6,Unknown,No,https://www.heraldonline.com/news/local/article182526796.html,,https://www.charlotteobserver.com/news/business/article221587840.html,https://www.newsobserver.com/news/business/article173976251.html,State subsidy is $50M + 5k/job/year (1.25B) + incalculable withholding returned. Charlotte bid to be released before 12/17/2018. 
